id;type;description;order_date;expedition_date;expected_delivery_date;production_cost;transportation_cost;vat_fees;price;is_delivered;departure_country;arrival_country;transportation_mode
73;Électroménager;Cuiseur à riz;2029-01-18;2029-01-25;2029-02-09;30;5;4;45;false;Japon;Allemagne;Terrestre
74;Livres;Essai philosophique;2029-02-05;2029-02-12;2029-02-28;20;4;3;30;true;France;Royaume-Uni;Aérien
75;Sport;Chaussures de randonnée;2029-03-22;2029-03-28;2029-04-12;70;10;15;100;false;Canada;États-Unis;Maritime
76;Électronique;Imprimante 3D;2029-04-10;2029-04-15;2029-04-30;250;20;40;320;true;Chine;Allemagne;Aérien
77;Vêtements;Blouse en coton;2029-05-25;2029-05-30;2029-06-14;25;4;3;35;false;Italie;France;Terrestre
78;Électroménager;Hachoir à viande électrique;2029-06-12;2029-06-18;2029-07-03;40;6;8;60;false;Espagne;Mexique;Maritime
79;Livres;Recueil de nouvelles;2029-07-20;2029-07-25;2029-08-09;18;3;2;25;true;Canada;Japon;Aérien
80;Sport;Gant de baseball;2029-08-10;2029-08-15;2029-08-30;15;2;2;20;false;Australie;États-Unis;Terrestre
81;Électronique;Lampe de bureau LED;2029-09-25;2029-10-02;2029-10-18;30;5;4;45;false;Corée du Sud;Brésil;Terrestre
82;Vêtements;Pull en laine;2029-10-15;2029-10-20;2029-11-04;40;8;10;60;true;France;Royaume-Uni;Maritime
83;Électroménager;Friteuse sans huile;2029-11-08;2029-11-15;2029-11-30;50;8;12;70;false;Allemagne;Royaume-Uni;Aérien
84;Livres;Thriller politique;2029-12-02;2029-12-10;2029-12-25;25;4;3;35;true;Espagne;Mexique;Maritime
85;Sport;Haltères ajustables;2030-01-18;2030-01-25;2030-02-09;70;10;15;100;false;Canada;États-Unis;Terrestre
86;Électronique;Écouteurs antibruit;2030-02-05;2030-02-12;2030-02-28;60;8;12;80;false;Japon;Chine;Aérien
87;Vêtements;Robe d'été;2030-03-22;2030-03-28;2030-04-12;30;6;5;45;true;Italie;France;Terrestre
88;Électroménager;Batteur sur socle;2030-04-10;2030-04-15;2030-04-30;90;12;20;130;false;Brésil;Espagne;Maritime
89;Livres;Livre d'histoire locale;2030-05-25;2030-05-30;2030-06-14;20;3;2;30;false;Australie;États-Unis;Aérien
90;Sport;Tapis de yoga antidérapant;2030-06-12;2030-06-18;2030-07-03;15;3;2;25;true;Corée du Sud;Royaume-Uni;Terrestre
91;Électronique;Stylo connecté;2030-07-20;2030-07-25;2030-08-09;40;5;8;60;false;France;Allemagne;Aérien
92;Vêtements;Chaussettes en bambou;2030-08-10;2030-08-15;2030-08-30;10;2;1;15;true;Italie;Espagne;Maritime
93;Électroménager;Presse-agrumes électrique;2030-09-25;2030-10-02;2030-10-18;25;4;3;35;false;Japon;Canada;Terrestre
94;Livres;Guide de photographie;2030-10-15;2030-10-20;2030-11-04;35;5;4;50;true;Espagne;Mexique;Aérien
95;Sport;Corde à sauter;2030-11-08;2030-11-15;2030-11-30;12;2;1;15;false;Canada;Australie;Maritime
96;Électronique;Chargeur solaire;2030-12-02;2030-12-10;2030-12-25;50;8;10;70;false;Australie;États-Unis;Terrestre
97;Vêtements;Sweat à capuche;2031-01-18;2031-01-25;2031-02-09;30;6;5;45;true;Royaume-Uni;France;Aérien
98;Électroménager;Robot aspirateur;2031-02-05;2031-02-12;2031-02-28;120;15;25;160;false;Chine;Allemagne;Maritime
99;Livres;Essai scientifique;2031-03-22;2031-03-28;2031-04-12;28;5;4;40;false;France;Japon;Terrestre
100;Sport;Gant de musculation;2031-04-10;2031-04-15;2031-04-30;18;3;2;25;true;Brésil;Australie;Aérien

